Accession	EntryName	GeneID	TaxID	EnsemblGeneID	GeneSymbol	Description	Type
P31946	1433B_HUMAN	7529	9606	ENSG00000166913	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	protein-coding
P62258	1433E_HUMAN	7531	9606	ENSG00000108953	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	protein-coding
P62258	1433E_HUMAN	7531	9606	ENSG00000274474	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	protein-coding
Q04917	1433F_HUMAN	7533	9606	ENSG00000128245	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	protein-coding
P61981	1433G_HUMAN	7532	9606	ENSG00000170027	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	protein-coding
P31947	1433S_HUMAN	2810	9606	ENSG00000175793	SFN	stratifin	protein-coding
P27348	1433T_HUMAN	10971	9606	ENSG00000134308	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	protein-coding
P63104	1433Z_HUMAN	7534	9606	ENSG00000164924	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	protein-coding
Q96QU6	1A1L1_HUMAN	84680	9606	ENSG00000110455	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	protein-coding
Q4AC99	1A1L2_HUMAN	390110	9606	ENSG00000205126	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	protein-coding
Q15172	2A5A_HUMAN	5525	9606	ENSG00000066027	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	protein-coding
Q15173	2A5B_HUMAN	5526	9606	ENSG00000068971	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta	protein-coding
Q14738	2A5D_HUMAN	5528	9606	ENSG00000112640	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	protein-coding
Q16537	2A5E_HUMAN	5529	9606	ENSG00000154001	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	protein-coding
Q13362	2A5G_HUMAN	5527	9606	ENSG00000078304	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	protein-coding
P30153	2AAA_HUMAN	5518	9606	ENSG00000105568	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	protein-coding
P30154	2AAB_HUMAN	5519	9606	ENSG00000137713	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	protein-coding
P63151	2ABA_HUMAN	5520	9606	ENSG00000221914	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	protein-coding
Q00005	2ABB_HUMAN	5521	9606	ENSG00000156475	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	protein-coding
Q66LE6	2ABD_HUMAN	55844	9606	ENSG00000175470	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta	protein-coding
Q9Y2T4	2ABG_HUMAN	5522	9606	ENSG00000074211	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	protein-coding
P14060	3BHS1_HUMAN	3283	9606	ENSG00000203857	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	protein-coding
P26439	3BHS2_HUMAN	3284	9606	ENSG00000203859	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	protein-coding
Q9H2F3	3BHS7_HUMAN	80270	9606	ENSG00000099377	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	protein-coding
Q9Y3L3	3BP1_HUMAN	23616	9606	ENSG00000100092	SH3BP1	SH3 domain binding protein 1	protein-coding
P78314	3BP2_HUMAN	6452	9606	ENSG00000087266	SH3BP2	SH3 domain binding protein 2	protein-coding
Q7L8J4	3BP5L_HUMAN	80851	9606	ENSG00000175137	SH3BP5L	SH3 binding domain protein 5 like	protein-coding
O60239	3BP5_HUMAN	9467	9606	ENSG00000131370	SH3BP5	SH3 domain binding protein 5	protein-coding
P46952	3HAO_HUMAN	23498	9606	ENSG00000162882	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	protein-coding
P31937	3HIDH_HUMAN	11112	9606	ENSG00000106049	HIBADH	3-hydroxyisobutyrate dehydrogenase	protein-coding
P29372	3MG_HUMAN	4350	9606	ENSG00000103152	MPG	N-methylpurine DNA glycosylase	protein-coding
Q13541	4EBP1_HUMAN	1978	9606	ENSG00000187840	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	protein-coding
Q13542	4EBP2_HUMAN	1979	9606	ENSG00000148730	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	protein-coding
O60516	4EBP3_HUMAN	8637	9606	ENSG00000243056	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	protein-coding
Q9NRA8	4ET_HUMAN	56478	9606	ENSG00000184708	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1	protein-coding
P08195	4F2_HUMAN	6520	9606	ENSG00000168003	SLC3A2	solute carrier family 3 member 2	protein-coding
P08908	5HT1A_HUMAN	3350	9606	ENSG00000178394	HTR1A	5-hydroxytryptamine receptor 1A	protein-coding
P28222	5HT1B_HUMAN	3351	9606	ENSG00000135312	HTR1B	5-hydroxytryptamine receptor 1B	protein-coding
P28221	5HT1D_HUMAN	3352	9606	ENSG00000179546	HTR1D	5-hydroxytryptamine receptor 1D	protein-coding
P28566	5HT1E_HUMAN	3354	9606	ENSG00000168830	HTR1E	5-hydroxytryptamine receptor 1E	protein-coding
P30939	5HT1F_HUMAN	3355	9606	ENSG00000179097	HTR1F	5-hydroxytryptamine receptor 1F	protein-coding
P28223	5HT2A_HUMAN	3356	9606	ENSG00000102468	HTR2A	5-hydroxytryptamine receptor 2A	protein-coding
P41595	5HT2B_HUMAN	3357	9606	ENSG00000135914	HTR2B	5-hydroxytryptamine receptor 2B	protein-coding
P28335	5HT2C_HUMAN	3358	9606	ENSG00000147246	HTR2C	5-hydroxytryptamine receptor 2C	protein-coding
P46098	5HT3A_HUMAN	3359	9606	ENSG00000166736	HTR3A	5-hydroxytryptamine receptor 3A	protein-coding
O95264	5HT3B_HUMAN	9177	9606	ENSG00000149305	HTR3B	5-hydroxytryptamine receptor 3B	protein-coding
Q8WXA8	5HT3C_HUMAN	170572	9606	ENSG00000178084	HTR3C	5-hydroxytryptamine receptor 3C	protein-coding
Q70Z44	5HT3D_HUMAN	200909	9606	ENSG00000186090	HTR3D	5-hydroxytryptamine receptor 3D	protein-coding
A5X5Y0	5HT3E_HUMAN	285242	9606	ENSG00000186038	HTR3E	5-hydroxytryptamine receptor 3E	protein-coding
